	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
BRF1	0.621074566836	0.575856317157	0.640549637392	0.997765743932	0.994079530092	0.979755719009	0.981998953428	0.99662118059	0.778171289714	1.0	0.989417211729	0.992400370714	0.973708169565	0.992931484145	0.99189986622	0.905291597427	0.929245990106	0.867401101652	0.989138045227	0.750229887052	0.666589670775	0.776937412923	0.991358566787	0.991517295765	0.988698029634	0.858576448402	0.753681269308	0.745537261046	0.867732785384	0.450375765089	0.0	0.813273837794	0.963906735003	0.814876632109	0.769774306073	0.875996901062	0.866713543498	0.786767696226	0.801331575698	0.83527485091	0.960654152196	0.85820345707
MRB3	0.51121234832	0.764128898574	0.86224018037	0.999268327737	0.992581830374	0.898931902517	0.921302394704	0.969238512168	0.897864051434	1.0	0.996994634288	0.985720262167	0.965435361649	0.991917161522	0.940010463291	0.902469783437	0.928597951728	0.758155303936	0.950700499657	0.602102712221	0.733160010813	0.863830717496	0.992277108051	0.984250470515	0.944712660873	0.639196846131	0.543393702937	0.755429270956	0.968738149249	0.793283136937	0.813273837794	0.0	0.990255184425	0.737027629212	0.889364295873	0.819936356816	0.941198219969	0.817705913329	0.817209254161	0.854120955717	0.965448632628	0.84810556445
MRB2	0.984059109882	0.958191081464	0.94471951684	0.996753965326	0.964864122976	0.975520807314	0.981211836543	0.998438942879	0.978219224814	1.0	0.802816901408	0.971289412971	0.916868721857	0.950226244344	0.984060621897	0.99012235275	0.97588430294	0.995494003048	0.991314588547	0.988208182444	0.951424078281	0.902673663168	0.990948178321	0.978067885117	0.998273182525	0.992620859543	0.98713803643	0.94233888807	0.749365252086	0.977686404945	0.963906735003	0.990255184425	0.0	0.986644305534	0.960464364015	0.991623285966	0.944886506408	0.983388397719	0.991204599795	0.963717752385	0.967923015237	0.995256038792
MRB1	0.741872678683	0.724133848946	0.841873905644	0.99885483766	0.971553643195	0.938852677446	0.947887363173	0.960882699962	0.769184492638	1.0	0.995004009128	0.969370897888	0.976862041005	0.982907559409	0.934247690781	0.897610496746	0.883624822296	0.826685561247	0.979993756179	0.718942632856	0.701151309051	0.802945849832	0.988414890201	0.947230443975	0.953257044693	0.805836331449	0.744951612538	0.749264494437	0.961135980466	0.793225784199	0.814876632109	0.737027629212	0.986644305534	0.0	0.864190620438	0.902716312649	0.923593295139	0.874230648086	0.865252332964	0.776197933684	0.972815533981	0.856182785352
TMI1	0.796502307505	0.67874718951	0.631907430185	0.996878038794	0.990742645546	0.99503732982	0.980845500749	0.993664529089	0.933836240767	1.0	0.99121284844	0.99367862969	0.949579831933	0.992964713642	0.992260782249	0.930224155236	0.890474572432	0.959541307326	0.995550896213	0.83620543427	0.675882461035	0.665936288556	0.988101576425	0.977518608926	0.989887145042	0.923678919122	0.8586267796	0.7506030733	0.864806521249	0.716353247732	0.769774306073	0.889364295873	0.960464364015	0.864190620438	0.0	0.954546225471	0.897763066574	0.944618704675	0.833906450428	0.650715826633	0.948485420996	0.987691840146
740RF3	0.813500207352	0.847367312388	0.925809841627	0.999189611592	0.997546457298	0.952649932798	0.978684784262	0.990975516809	0.844079060262	1.0	0.994850590764	0.984617021277	0.974737413036	0.989941981343	0.983815116643	0.963029698279	0.918928115695	0.493393119101	0.990278246612	0.85049452293	0.891881032169	0.951765670502	0.991482254697	0.985188064526	0.985570154172	0.736581814438	0.800266599771	0.886814021139	0.973560080742	0.850579192716	0.875996901062	0.819936356816	0.991623285966	0.902716312649	0.954546225471	0.0	0.913620415923	0.589473100542	0.957142919086	0.992956405863	0.993003508626	0.892285112628
740RF2	0.911526954453	0.865833979504	0.806981226354	0.999223937225	0.994277970185	0.950026975991	0.980721564307	0.996461338131	0.85992543878	1.0	0.963753236318	0.974741506647	0.903198598586	0.971947050057	0.983164308334	0.900885437025	0.72919924508	0.920846434097	0.97451022605	0.937539691956	0.838188143802	0.801614223886	0.981695039356	0.977917798717	0.996185772712	0.963896126954	0.937203376723	0.848216957267	0.818385798192	0.807829032663	0.866713543498	0.941198219969	0.944886506408	0.923593295139	0.897763066574	0.913620415923	0.0	0.788962361716	0.960017846797	0.958126815929	0.956028726219	0.965193442623
740RF1	0.742676791267	0.734873328368	0.852885080703	0.998502307669	0.996361802529	0.898575720485	0.983011838728	0.968328864558	0.764785633321	1.0	0.990793585449	0.982251703119	0.960140842627	0.983782876955	0.98330034084	0.773943668939	0.820042858944	0.594003861682	0.984907966089	0.808775891899	0.817831750119	0.912472196444	0.987693192438	0.981726263458	0.966559611291	0.793876180249	0.782458308346	0.801450577826	0.948460613664	0.729986009638	0.786767696226	0.817705913329	0.983388397719	0.874230648086	0.944618704675	0.589473100542	0.788962361716	0.0	0.951353121248	0.974633465208	0.980073648346	0.861912397671
TMI2	0.712702410939	0.800437875058	0.876659408583	0.999393871514	0.997194634562	0.976441593731	0.992435806575	0.995462319802	0.953645050614	1.0	0.99710995064	0.99531411605	0.985777975306	0.995628446527	0.994724364318	0.927151469882	0.963495675372	0.967365172616	0.995889707142	0.773083713403	0.771136840397	0.863404133925	0.995535714286	0.983631278789	0.993223956006	0.823175836947	0.833400946586	0.823273985195	0.962571830084	0.803867105793	0.801331575698	0.817209254161	0.991204599795	0.865252332964	0.833906450428	0.957142919086	0.960017846797	0.951353121248	0.0	0.861767311158	0.984535832705	0.944170787789
TMI3	0.755385707447	0.698620295534	0.694459153709	0.999128587768	0.994778067885	0.996433864394	0.949436606382	0.998405341231	0.978783823481	1.0	0.993448987019	0.99504950495	0.995508102692	0.995829155805	0.994333983106	0.951415661402	0.960962503457	0.986685779111	0.996408456453	0.842034447357	0.649213111903	0.66315252074	0.994907328061	0.994160962792	0.997064494777	0.892279704045	0.820091076418	0.671114115846	0.879432376835	0.810627546862	0.83527485091	0.854120955717	0.963717752385	0.776197933684	0.650715826633	0.992956405863	0.958126815929	0.974633465208	0.861767311158	0.0	0.960887014489	0.991245071176
1KM1	0.984223229528	0.964011139409	0.952227301246	0.997827329903	0.944048561626	0.960420841683	0.925628463577	0.97917786278	0.988868274583	1.0	0.983263598326	0.878509443594	0.908126480585	0.862528493775	0.950527464533	0.972034552195	0.97043267699	0.974513394227	0.947948176474	0.989039662177	0.943040785933	0.931304217019	0.975475452316	0.916343251401	0.983484101683	0.98872975635	0.986682260942	0.985318265237	0.943062757964	0.97563986894	0.960654152196	0.965448632628	0.967923015237	0.972815533981	0.948485420996	0.993003508626	0.956028726219	0.980073648346	0.984535832705	0.960887014489	0.0	0.978765628101
2KM1	0.852099224883	0.834454873082	0.893723545773	0.998844168186	0.960708714719	0.905748980173	0.937687945405	0.931450652069	0.880685035834	1.0	0.995992288191	0.922770187064	0.961703645573	0.982778189743	0.8888456273	0.820038233506	0.96076807393	0.862776626178	0.800351746537	0.848355500775	0.907591562003	0.949974476774	0.988242038372	0.947451056676	0.935743027135	0.883806235402	0.88223961062	0.92709575108	0.972474042248	0.87249985365	0.85820345707	0.84810556445	0.995256038792	0.856182785352	0.987691840146	0.892285112628	0.965193442623	0.861912397671	0.944170787789	0.991245071176	0.978765628101	0.0
